,Target.name
CELF1,CELF1
COL18A1,COL18A1
DGKB,DGKB
BPI,BPI
CSNK1G1,CSNK1G1
ADRB1,ADRB1
DOK4,DOK4
CDCP1,CDCP1
HAND1,HAND1
CSAD,CSAD
GPR119,GPR119
POLA1,POLA1
ABCC3,ABCC3
SLC4A1AP,SLC4A1AP
CISH,CISH
PRAME,PRAME
NEK7,NEK7
CPLX2,CPLX2
ALDH18A1,ALDH18A1
IL9R,IL9R
HPN,HPN
ASPM,ASPM
IRAK4,IRAK4
FEN1,FEN1
OTUD3,OTUD3
METTL1,METTL1
TNKS,TNKS
PAQR7,PAQR7
TCEA2,TCEA2
PLOD3,PLOD3
LRRK1,LRRK1
DUSP3,DUSP3
LCP2,LCP2
BAZ2B,BAZ2B
MZB1,MZB1
PDE3A,PDE3A
ZNF318,ZNF318
JMJD6,JMJD6
RRP1B,RRP1B
SOCS6,SOCS6
SAA4,SAA4
ADAMDEC1,ADAMDEC1
C5orf58,C5orf58
MORN2,MORN2
UVRAG,UVRAG
IL2RA,IL2RA
PDK2,PDK2
SNRNP25,SNRNP25
LTBR,LTBR
ZIK1,ZIK1
ACVR1B,ACVR1B
OAT,OAT
MYO1E,MYO1E
PARG,PARG
FNTB,FNTB
KPNA7,KPNA7
TSPO,TSPO
CDK11A,CDK11A
RHOBTB3,RHOBTB3
CACNA1S,CACNA1S
IFNB1,IFNB1
CD244,CD244
WNT9B,WNT9B
CD96,CD96
DNMT3B,DNMT3B
PAPOLA,PAPOLA
ZNF219,ZNF219
PLPP3,PLPP3
AP4S1,AP4S1
PLEKHM1,PLEKHM1
DHX8,DHX8
TIMP3,TIMP3
EFEMP2,EFEMP2
KCTD16,KCTD16
CYB5R1,CYB5R1
PTPRJ,PTPRJ
VCAN,VCAN
PHF11,PHF11
MAP3K21,MAP3K21
RBMX,RBMX
IFI44L,IFI44L
CPT1B,CPT1B
SNX13,SNX13
NDRG1,NDRG1
ANAPC2,ANAPC2
SPEG,SPEG
IFNAR2,IFNAR2
PRKD2,PRKD2
GALNT17,GALNT17
CXorf21,CXorf21
PANK2,PANK2
ARFRP1,ARFRP1
MASP2,MASP2
FARSA,FARSA
NIT1,NIT1
SLC2A1,SLC2A1
LARP1B,LARP1B
B4GALT3,B4GALT3
GIMAP1,GIMAP1
NDUFA12,NDUFA12
CALM3,CALM3
WDR7,WDR7
DPYSL3,DPYSL3
TRPM6,TRPM6
REXO2,REXO2
MYLIP,MYLIP
GUCY1A2,GUCY1A2
ZFP2,ZFP2
THNSL1,THNSL1
WBP1L,WBP1L
SELENOI,SELENOI
PEBP1,PEBP1
SLC29A1,SLC29A1
CAV2,CAV2
TFE3,TFE3
LILRB5,LILRB5
PANX1,PANX1
ARL4C,ARL4C
IL3RA,IL3RA
GABRR1,GABRR1
RPL23A,RPL23A
BOLA1,BOLA1
SACM1L,SACM1L
FABP1,FABP1
CEACAM8,CEACAM8
RP2,RP2
PHLDA2,PHLDA2
TBXA2R,TBXA2R
TWF1,TWF1
DLX4,DLX4
DKC1,DKC1
OPRD1,OPRD1
WNK3,WNK3
ALDH1A3,ALDH1A3
BCKDK,BCKDK
DPP9,DPP9
ERBIN,ERBIN
SLCO1A2,SLCO1A2
SMC4,SMC4
NUCB2,NUCB2
NLRP7,NLRP7
IFT172,IFT172
DSE,DSE
VGLL4,VGLL4
APOB,APOB
VEGFD,VEGFD
RPS6KA4,RPS6KA4
EMX2OS,EMX2OS
RBFOX3,RBFOX3
PIAS3,PIAS3
CCR5,CCR5
PI4KB,PI4KB
PDE4C,PDE4C
CD79A,CD79A
TOP1MT,TOP1MT
PPP1R14B,PPP1R14B
IPPK,IPPK
GDF15,GDF15
IL26,IL26
ZBTB38,ZBTB38
ZW10,ZW10
GABRA1,GABRA1
ANG,ANG
BSN,BSN
IGLL1,IGLL1
FDX2,FDX2
PGK1,PGK1
RPL15,RPL15
CLCN2,CLCN2
CD226,CD226
ACVR2B-AS1,ACVR2B-AS1
RPL10L,RPL10L
SMC1A,SMC1A
PXK,PXK
TASP1,TASP1
TRIM62,TRIM62
PHGDH,PHGDH
INTS3,INTS3
ZNF502,ZNF502
CYC1,CYC1
KMT2D,KMT2D
IFNA1,IFNA1
PMM2,PMM2
MED14,MED14
MTF2,MTF2
HLA-DQB1,HLA-DQB1
SIRPD,SIRPD
MKRN2,MKRN2
MYO1G,MYO1G
KCND3,KCND3
GRM5,GRM5
MAF1,MAF1
NDUFC2,NDUFC2
CEACAM4,CEACAM4
NAGLU,NAGLU
GALNT1,GALNT1
CPVL,CPVL
CDKL4,CDKL4
F2RL1,F2RL1
TRPV2,TRPV2
IPO13,IPO13
PSMG3-AS1,PSMG3-AS1
MINK1,MINK1
CERK,CERK
JMJD7-PLA2G4B,JMJD7-PLA2G4B
SCAF8,SCAF8
F12,F12
GRM2,GRM2
HUS1,HUS1
GATA1,GATA1
FUT4,FUT4
CD7,CD7
CIR1,CIR1
MLLT10,MLLT10
HSD17B11,HSD17B11
SLC5A2,SLC5A2
C16orf54,C16orf54
TPM4,TPM4
UHMK1,UHMK1
DCLRE1B,DCLRE1B
LAMTOR3,LAMTOR3
NR1I2,NR1I2
IGLON5,IGLON5
TAAR6,TAAR6
ITGAX,ITGAX
KIF2B,KIF2B
RASGRP4,RASGRP4
EDNRA,EDNRA
HOGA1,HOGA1
HNF4G,HNF4G
TCN2,TCN2
PSMD1,PSMD1
UBA6-AS1,UBA6-AS1
TRIM9,TRIM9
FASTK,FASTK
LRBA,LRBA
PDE6H,PDE6H
CDK10,CDK10
CHRAC1,CHRAC1
DGAT1,DGAT1
ZNF112,ZNF112
PDE1B,PDE1B
KCNB2,KCNB2
ORC4,ORC4
ZNF213-AS1,ZNF213-AS1
HINFP,HINFP
GLI3,GLI3
TCF7,TCF7
SPC25,SPC25
EIF6,EIF6
PHYKPL,PHYKPL
NDUFS7,NDUFS7
KDM5D,KDM5D
GAK,GAK
UQCRB,UQCRB
PSKH2,PSKH2
GSTA1,GSTA1
SNHG15,SNHG15
PFDN4,PFDN4
TUBB4B,TUBB4B
CDKN2B,CDKN2B
LARS1,LARS1
MYLK3,MYLK3
PIK3R3,PIK3R3
OXA1L,OXA1L
MILR1,MILR1
DIPK1A,DIPK1A
TCF12,TCF12
CACNB2,CACNB2
HSP90AB1,HSP90AB1
DNASE2,DNASE2
GPRC5C,GPRC5C
ZNF248,ZNF248
LMNB2,LMNB2
ERN1,ERN1
SLC38A3,SLC38A3
KIR3DL2,KIR3DL2
ISG15,ISG15
PLK1,PLK1
HIP1R,HIP1R
SENP5,SENP5
H1-5,H1-5
PNOC,PNOC
PIP5KL1,PIP5KL1
AXIN1,AXIN1
GDPD5,GDPD5
NMI,NMI
HOXA-AS3,HOXA-AS3
RSPO3,RSPO3
PTX3,PTX3
H3C1,H3C1
C17orf75,C17orf75
RBMS3,RBMS3
KIF3B,KIF3B
NRAV,NRAV
KITLG,KITLG
SPATA4,SPATA4
BGLAP,BGLAP
APOBEC3G,APOBEC3G
PDIA5,PDIA5
CD1C,CD1C
GAPDH,GAPDH
MEF2C,MEF2C
SNX16,SNX16
MRPL16,MRPL16
HLA-DQA2,HLA-DQA2
C19orf48,C19orf48
HLA-DRB4,HLA-DRB4
HTRA2,HTRA2
ARL17B,ARL17B
GPR143,GPR143
ZNF821,ZNF821
SP140L,SP140L
SYT4,SYT4
SYPL1,SYPL1
TFAP4,TFAP4
SHANK3,SHANK3
JAK3,JAK3
LILRB4,LILRB4
ITGB5,ITGB5
C5,C5
GABRB3,GABRB3
KIF5A,KIF5A
RASAL2,RASAL2
DEDD,DEDD
ZNF365,ZNF365
BAG1,BAG1
SLC38A2,SLC38A2
NDUFA9,NDUFA9
TGIF2LY,TGIF2LY
SEC61A2,SEC61A2
HEXA,HEXA
ZNF276,ZNF276
HPSE,HPSE
PRDM14,PRDM14
MAPK13,MAPK13
GPR31,GPR31
CA14,CA14
TXNIP,TXNIP
ZHX2,ZHX2
PPP1R10,PPP1R10
VSIG4,VSIG4
TANK,TANK
SELL,SELL
CPD,CPD
IKZF1,IKZF1
POLR2C,POLR2C
ZNF217,ZNF217
ETFB,ETFB
MAPK14,MAPK14
CEACAM18,CEACAM18
IRS1,IRS1
RNPEP,RNPEP
DEFB106B,DEFB106B
ZNF701,ZNF701
ZNF32,ZNF32
TMEM11,TMEM11
LRP12,LRP12
NHEJ1,NHEJ1
MPL,MPL
DPEP2,DPEP2
CYB5D1,CYB5D1
FAAH,FAAH
WRN,WRN
PCMT1,PCMT1
SELE,SELE
UTP18,UTP18
PDE4A,PDE4A
ABCA6,ABCA6
CNBD1,CNBD1
CRHR1,CRHR1
CAPNS2,CAPNS2
GPS2,GPS2
ABCB1,ABCB1
ATP6V0A1,ATP6V0A1
FAM3C,FAM3C
HEY2,HEY2
NRF1,NRF1
TRIM29,TRIM29
EIF4EBP1,EIF4EBP1
MZT1,MZT1
CLCNKB,CLCNKB
MTM1,MTM1
DNAJC15,DNAJC15
TYK2,TYK2
TLR2,TLR2
CREG1,CREG1
CXCL6,CXCL6
ADRA2B,ADRA2B
YARS2,YARS2
BIN2,BIN2
FOXM1,FOXM1
SLC16A2,SLC16A2
ILKAP,ILKAP
CXCL8,CXCL8
PAXIP1-AS2,PAXIP1-AS2
PPP2R2C,PPP2R2C
CLEC4A,CLEC4A
ZNF74,ZNF74
THBS1,THBS1
USP32,USP32
ITPR3,ITPR3
LINC02228,LINC02228
LATS1,LATS1
MIR4453HG,MIR4453HG
PRMT1,PRMT1
AK2,AK2
AP5B1,AP5B1
CD86,CD86
TNFAIP1,TNFAIP1
E2F5,E2F5
DYNLT3,DYNLT3
SHANK2,SHANK2
PDHX,PDHX
RHD,RHD
EFNB3,EFNB3
NUP160,NUP160
AATK,AATK
ASCL2,ASCL2
RAD51C,RAD51C
GUCY2D,GUCY2D
GSTO2,GSTO2
ARHGAP35,ARHGAP35
PLCB4,PLCB4
WNT2,WNT2
ZNF462,ZNF462
CD1E,CD1E
FBXW11,FBXW11
PON1,PON1
GRIN2C,GRIN2C
KRT26,KRT26
AMT,AMT
RASSF5,RASSF5
DTL,DTL
KIF2C,KIF2C
ZBTB9,ZBTB9
PIGH,PIGH
TTBK2,TTBK2
SOAT2,SOAT2
FGD2,FGD2
PLCD1,PLCD1
FOXJ3,FOXJ3
MCM8,MCM8
LRRC8C,LRRC8C
DYRK1B,DYRK1B
TRAF3IP2-AS1,TRAF3IP2-AS1
PREX2,PREX2
NELFB,NELFB
ALDH1A1,ALDH1A1
GAST,GAST
SLC23A1,SLC23A1
OPN5,OPN5
CPEB4,CPEB4
CCL3,CCL3
MS4A7,MS4A7
ABCC2,ABCC2
SIAH1,SIAH1
GPR150,GPR150
SLC2A2,SLC2A2
HCN4,HCN4
RDX,RDX
TLR1,TLR1
MLLT6,MLLT6
RORB,RORB
PROZ,PROZ
POLR2E,POLR2E
H2BC12,H2BC12
HSD17B1,HSD17B1
SLC26A1,SLC26A1
GSPT2,GSPT2
CDC14A,CDC14A
SESN1,SESN1
GJA3,GJA3
RAD51,RAD51
TRPC1,TRPC1
CES2,CES2
DESI1,DESI1
NEUROD4,NEUROD4
ZNF227,ZNF227
SMOC2,SMOC2
FERMT1,FERMT1
SCIMP,SCIMP
HBA1,HBA1
IRGC,IRGC
NOBOX,NOBOX
KIR2DL3,KIR2DL3
MT1F,MT1F
CARD14,CARD14
SIK3,SIK3
NAMPT,NAMPT
PIK3IP1,PIK3IP1
PTPN22,PTPN22
GABRR2,GABRR2
CCNA1,CCNA1
KIR2DS4,KIR2DS4
APOL3,APOL3
ELN,ELN
SIGLEC14,SIGLEC14
CTRL,CTRL
NEXN,NEXN
ERMAP,ERMAP
WNK4,WNK4
ST14,ST14
NBPF15,NBPF15
ARHGEF11,ARHGEF11
DLX2,DLX2
OSR1,OSR1
ZRSR2,ZRSR2
SAP18,SAP18
SERINC3,SERINC3
LTA,LTA
QPRT,QPRT
ELOVL7,ELOVL7
AKR1A1,AKR1A1
RALA,RALA
FAM47E-STBD1,FAM47E-STBD1
GJC3,GJC3
TEAD2,TEAD2
ZMIZ2,ZMIZ2
LAMA3,LAMA3
PGD,PGD
GPX1,GPX1
NOTCH2,NOTCH2
POU2F2,POU2F2
PPM1B,PPM1B
TPSB2,TPSB2
ERCC5,ERCC5
CC2D2A,CC2D2A
NR4A1,NR4A1
ELP1,ELP1
IFNA4,IFNA4
TM9SF4,TM9SF4
CHERP,CHERP
STRADA,STRADA
ADCY1,ADCY1
ZBTB43,ZBTB43
NCAPG,NCAPG
USF1,USF1
NPBWR1,NPBWR1
TIMM23,TIMM23
IFNAR1,IFNAR1
PNN,PNN
GPT,GPT
NDFIP1,NDFIP1
NME7,NME7
RXRB,RXRB
GGCT,GGCT
LIPH,LIPH
CCDC51,CCDC51
CDR2L,CDR2L
XPOT,XPOT
CFH,CFH
NDP,NDP
STAT4,STAT4
TSSK2,TSSK2
SLC32A1,SLC32A1
MRE11,MRE11
C6,C6
NUPR1,NUPR1
LBP,LBP
CCNT1,CCNT1
ADRB2,ADRB2
EIF4E,EIF4E
NEU2,NEU2
IFIT1,IFIT1
FCER2,FCER2
JMJD4,JMJD4
CANX,CANX
QRSL1,QRSL1
FZD6,FZD6
LATS2,LATS2
ATAD2,ATAD2
RNASE2,RNASE2
KDM2A,KDM2A
ZNF774,ZNF774
CHRNA3,CHRNA3
SHBG,SHBG
BAG3,BAG3
EIF2B3,EIF2B3
HCFC2,HCFC2
TPP2,TPP2
BCLAF1,BCLAF1
KRAS,KRAS
LIME1,LIME1
GPR148,GPR148
BCCIP,BCCIP
HLA-A,HLA-A
KCNE2,KCNE2
PDXK,PDXK
SH3BP5,SH3BP5
ZNF410,ZNF410
C20orf204,C20orf204
TCFL5,TCFL5
EED,EED
NGFR,NGFR
PIM3,PIM3
PHF10,PHF10
MAP1LC3A,MAP1LC3A
KLHL3,KLHL3
HLA-DMB,HLA-DMB
IL6,IL6
MKRN3,MKRN3
PAX3,PAX3
WT1,WT1
AP1B1,AP1B1
UNG,UNG
PLCB1,PLCB1
NXPE4,NXPE4
MXD1,MXD1
CHSY1,CHSY1
PDSS2,PDSS2
ZNF627,ZNF627
CASP2,CASP2
GAS6,GAS6
LIPI,LIPI
OR10Z1,OR10Z1
NCR3,NCR3
CXCR3,CXCR3
TK2,TK2
PASD1,PASD1
TCTN1,TCTN1
HMGCS2,HMGCS2
SBNO1,SBNO1
ZMYM2,ZMYM2
TMCO3,TMCO3
HMGCR,HMGCR
ZNF451,ZNF451
ZNF573,ZNF573
CDCA7L,CDCA7L
IGFBP5,IGFBP5
NUDT19,NUDT19
ACAD8,ACAD8
ITPR2,ITPR2
H1-8,H1-8
IRF1,IRF1
CASP1,CASP1
TJP2,TJP2
PIK3CD,PIK3CD
KLF17,KLF17
DNAJC12,DNAJC12
NRBP2,NRBP2
ADGRF1,ADGRF1
H2BC5,H2BC5
ME3,ME3
LINC00888,LINC00888
PPP2R3C,PPP2R3C
SKIV2L,SKIV2L
USF2,USF2
ZNF354B,ZNF354B
AP3B1,AP3B1
GSTM2,GSTM2
KLRC1,KLRC1
NSD3,NSD3
ALDH3B2,ALDH3B2
TMEM258,TMEM258
LINC01719,LINC01719
IL3,IL3
IL4R,IL4R
LENEP,LENEP
ACP5,ACP5
PIK3CB,PIK3CB
POLR1B,POLR1B
ABTB1,ABTB1
CLEC4M,CLEC4M
SNX20,SNX20
EP300,EP300
JCHAIN,JCHAIN
ARPC5,ARPC5
SPRY4,SPRY4
MRC1,MRC1
ILDR2,ILDR2
GTPBP4,GTPBP4
LPAR4,LPAR4
NLK,NLK
RAPH1,RAPH1
NUGGC,NUGGC
ARL6IP4,ARL6IP4
SNCA,SNCA
RHOA,RHOA
GPSM2,GPSM2
CDON,CDON
ZNRF3,ZNRF3
TSTA3,TSTA3
CYB5R2,CYB5R2
CHRNA10,CHRNA10
TRDMT1,TRDMT1
PLEKHG3,PLEKHG3
PAK5,PAK5
SERPINC1,SERPINC1
UGT3A1,UGT3A1
BUB1B,BUB1B
C12orf75,C12orf75
SLC6A13,SLC6A13
DDRGK1,DDRGK1
DGKD,DGKD
TWF2,TWF2
PPARG,PPARG
FBXO16,FBXO16
TERF1,TERF1
SCMH1,SCMH1
RNF10,RNF10
GRM8,GRM8
GPATCH8,GPATCH8
SLC15A4,SLC15A4
OTX2,OTX2
ZNF680,ZNF680
F5,F5
GLYATL1,GLYATL1
ADGRG2,ADGRG2
SORL1,SORL1
WARS1,WARS1
TRPS1,TRPS1
MMEL1,MMEL1
TEX14,TEX14
CXCR5,CXCR5
GMCL1,GMCL1
G6PC,G6PC
SLC13A2,SLC13A2
HOXB5,HOXB5
CDK6,CDK6
WDR5,WDR5
HTR1B,HTR1B
COL4A5,COL4A5
SSX2,SSX2
ZNF34,ZNF34
CCNG1,CCNG1
GPR55,GPR55
OPN3,OPN3
RTEL1,RTEL1
NXPE1,NXPE1
S100A11,S100A11
GNRHR,GNRHR
IGF2,IGF2
EGFL8,EGFL8
ESRRB,ESRRB
TMEM127,TMEM127
PIK3R6,PIK3R6
ATP5F1B,ATP5F1B
AIF1,AIF1
VEGFC,VEGFC
YRDC,YRDC
CKMT1B,CKMT1B
CAMKK1,CAMKK1
PLOD2,PLOD2
GPR139,GPR139
APOBEC3D,APOBEC3D
ZGLP1,ZGLP1
PPP3R1,PPP3R1
CASP5,CASP5
MTR,MTR
OVCA2,OVCA2
CEP83,CEP83
CDC42SE2,CDC42SE2
CTNNA1,CTNNA1
UBL5,UBL5
GZMK,GZMK
VWA1,VWA1
MS4A3,MS4A3
TRPV3,TRPV3
ATMIN,ATMIN
PPP3CA,PPP3CA
STAP2,STAP2
GGT1,GGT1
IDO1,IDO1
MCTP2,MCTP2
MMP28,MMP28
GNRH1,GNRH1
KRTCAP2,KRTCAP2
GGH,GGH
SIGMAR1,SIGMAR1
PTPN11,PTPN11
CLEC5A,CLEC5A
CNTFR,CNTFR
GARS1,GARS1
ERCC2,ERCC2
EGR1,EGR1
G3BP1,G3BP1
DNAJC1,DNAJC1
PPIP5K1,PPIP5K1
ELF2,ELF2
DAXX,DAXX
SLCO1B3,SLCO1B3
SIGIRR,SIGIRR
COQ8A,COQ8A
MFSD13A,MFSD13A
SMAD2,SMAD2
PLCG2,PLCG2
RAP1GAP,RAP1GAP
SH3BP4,SH3BP4
MAT2B,MAT2B
TSPAN3,TSPAN3
CLOCK,CLOCK
PLEKHG5,PLEKHG5
RBM34,RBM34
FECH,FECH
SIRT5,SIRT5
MED12,MED12
SIX4,SIX4
LYSMD1,LYSMD1
RPS16,RPS16
CD46,CD46
PIKFYVE,PIKFYVE
HTR3A,HTR3A
GYPB,GYPB
IL1B,IL1B
OIP5,OIP5
KLF6,KLF6
COL8A1,COL8A1
TRIM23,TRIM23
MRPS17,MRPS17
APBB2,APBB2
SDHC,SDHC
REPIN1,REPIN1
TIPIN,TIPIN
NGF,NGF
FOXQ1,FOXQ1
ZNF343,ZNF343
FBXO28,FBXO28
GPNMB,GPNMB
GLS,GLS
PIK3CG,PIK3CG
RYR2,RYR2
GIMAP6,GIMAP6
COQ6,COQ6
ANKZF1,ANKZF1
CHEK1,CHEK1
TSEN2,TSEN2
POLR2A,POLR2A
RAD50,RAD50
PCNA,PCNA
MERTK,MERTK
MPC2,MPC2
HCAR3,HCAR3
YTHDF2,YTHDF2
ACADM,ACADM
TULP2,TULP2
HOXC11,HOXC11
RSC1A1,RSC1A1
BRPF3,BRPF3
IGHA2,IGHA2
RPS6KA2,RPS6KA2
SSX1,SSX1
NTSR2,NTSR2
PRSS53,PRSS53
CSDC2,CSDC2
YBX1,YBX1
ZBTB22,ZBTB22
AGER,AGER
GCLM,GCLM
GJA10,GJA10
NFATC1,NFATC1
CD3G,CD3G
GHRL,GHRL
TRAF2,TRAF2
HTR1E,HTR1E
CNPY3,CNPY3
ERG,ERG
SETDB2,SETDB2
FAM20C,FAM20C
TMC6,TMC6
PSMB2,PSMB2
HEATR1,HEATR1
CLPX,CLPX
NRG4,NRG4
ASPHD2,ASPHD2
SDS,SDS
RARB,RARB
NUP93,NUP93
CHIC2,CHIC2
STK32A,STK32A
AMH,AMH
NPFFR1,NPFFR1
LDLRAD3,LDLRAD3
LRCH4,LRCH4
CA7,CA7
MYO1F,MYO1F
GNB5,GNB5
TMEM81,TMEM81
SOX3,SOX3
CENPU,CENPU
MPV17,MPV17
OSM,OSM
APOLD1,APOLD1
TMEM175,TMEM175
MS4A8,MS4A8
NPSR1,NPSR1
RASGRP2,RASGRP2
TSFM,TSFM
RHPN2,RHPN2
TADA1,TADA1
AGO2,AGO2
PTPN5,PTPN5
TBX21,TBX21
BRIX1,BRIX1
BRD9,BRD9
APBB1IP,APBB1IP
KIAA0100,KIAA0100
NUTM2A,NUTM2A
RGS12,RGS12
SCYL2,SCYL2
TIGAR,TIGAR
PNPT1,PNPT1
ANTXR2,ANTXR2
BDNF,BDNF
LINC01089,LINC01089
CRLF2,CRLF2
TNPO3,TNPO3
SRPK2,SRPK2
BIK,BIK
GRAMD1B,GRAMD1B
PHF19,PHF19
CAST,CAST
CRIM1,CRIM1
CTRB2,CTRB2
MRGPRF,MRGPRF
TSPAN2,TSPAN2
MYEOV,MYEOV
GBGT1,GBGT1
STK32C,STK32C
NDUFB8,NDUFB8
FSCN1,FSCN1
IL23R,IL23R
GALNT10,GALNT10
RIOK3,RIOK3
CHD8,CHD8
KLRF1,KLRF1
MAGT1,MAGT1
ZNF321P,ZNF321P
PPP1R8,PPP1R8
GPSM1,GPSM1
SLC22A3,SLC22A3
GPR65,GPR65
FKBP3,FKBP3
SIX2,SIX2
C9orf139,C9orf139
TNFSF18,TNFSF18
RAB42,RAB42
ZNF439,ZNF439
DTX4,DTX4
DPYD,DPYD
CXorf65,CXorf65
VSIR,VSIR
GPA33,GPA33
CXCL2,CXCL2
EPHA8,EPHA8
C1RL-AS1,C1RL-AS1
IDO2,IDO2
SMARCE1,SMARCE1
TRPV1,TRPV1
SEC23IP,SEC23IP
KLHL14,KLHL14
DVL1,DVL1
VSIG10L,VSIG10L
LMX1A,LMX1A
CASP6,CASP6
DOLK,DOLK
JAZF1,JAZF1
IFITM1,IFITM1
KLF7,KLF7
SPIB,SPIB
TSSK3,TSSK3
TRIM27,TRIM27
DUS3L,DUS3L
COG2,COG2
ZNF711,ZNF711
SSTR4,SSTR4
CFB,CFB
TM4SF5,TM4SF5
ZEB2,ZEB2
MRPL19,MRPL19
TAPBP,TAPBP
TFEC,TFEC
ANXA1,ANXA1
MINDY1,MINDY1
GULP1,GULP1
EIF5A,EIF5A
REG3A,REG3A
KCNAB2,KCNAB2
NONO,NONO
PDLIM1,PDLIM1
PRKCI,PRKCI
MYO9B,MYO9B
IP6K2,IP6K2
MAS1L,MAS1L
DPH5,DPH5
ATRX,ATRX
P3H3,P3H3
FYB1,FYB1
ZNF561,ZNF561
HOXC9,HOXC9
PRCC,PRCC
EBI3,EBI3
PPP1R1B,PPP1R1B
ABL2,ABL2
MACF1,MACF1
CRYGC,CRYGC
FHIT,FHIT
ARHGAP26,ARHGAP26
KAZALD1,KAZALD1
DDX1,DDX1
HAND2,HAND2
GIT2,GIT2
KCNN1,KCNN1
CARS1,CARS1
NDFIP2,NDFIP2
DMBT1,DMBT1
KDM3B,KDM3B
LIPG,LIPG
HSPA9,HSPA9
CHCHD7,CHCHD7
SPINK4,SPINK4
CHRM1,CHRM1
SH2D1A,SH2D1A
AZIN2,AZIN2
DRAP1,DRAP1
ABCC8,ABCC8
PIK3R4,PIK3R4
EIF5,EIF5
PNLIP,PNLIP
GPR82,GPR82
MKX,MKX
ERAP2,ERAP2
NME1-NME2,NME1-NME2
LAMB3,LAMB3
PXYLP1,PXYLP1
GOLT1B,GOLT1B
KRTAP5-2,KRTAP5-2
FAU,FAU
GNMT,GNMT
LARP4,LARP4
PROKR2,PROKR2
SP140,SP140
WDR18,WDR18
NPEPL1,NPEPL1
ACVR2B,ACVR2B
LRPAP1,LRPAP1
SCAMP3,SCAMP3
OTX1,OTX1
IFNA8,IFNA8
HTATIP2,HTATIP2
CLEC1A,CLEC1A
SH2B3,SH2B3
NAIP,NAIP
DEPDC5,DEPDC5
MAPK15,MAPK15
EPHB1,EPHB1
ZNF679,ZNF679
FOSB,FOSB
HSD3B1,HSD3B1
ERLIN1,ERLIN1
GLRA1,GLRA1
DHRS11,DHRS11
FANCG,FANCG
IGF2R,IGF2R
ZBTB14,ZBTB14
ANGPTL3,ANGPTL3
GDI1,GDI1
KLF4,KLF4
ZNF621,ZNF621
PMF1-BGLAP,PMF1-BGLAP
PSKH1,PSKH1
POLR2K,POLR2K
APLNR,APLNR
RPL3,RPL3
LIPE,LIPE
RUVBL2,RUVBL2
PTP4A2,PTP4A2
ID4,ID4
SALL1,SALL1
SLK,SLK
WDR61,WDR61
GK,GK
PODXL,PODXL
TESPA1,TESPA1
CEACAM20,CEACAM20
XPA,XPA
SENP6,SENP6
ABCB9,ABCB9
MSH6,MSH6
SPATA2L,SPATA2L
ITPRIPL1,ITPRIPL1
RTL3,RTL3
TRIP12,TRIP12
ZNF19,ZNF19
SORT1,SORT1
HDAC1,HDAC1
ZBTB41,ZBTB41
RGS18,RGS18
ZNF718,ZNF718
CFHR5,CFHR5
HEY1,HEY1
OPTN,OPTN
MEN1,MEN1
ICAM5,ICAM5
SKIL,SKIL
PDXP,PDXP
PELI1,PELI1
NEK1,NEK1
CDK14,CDK14
IGSF10,IGSF10
PIM2,PIM2
PSIP1,PSIP1
DISC1,DISC1
HCST,HCST
ANXA7,ANXA7
HOXA5,HOXA5
CPE,CPE
ENC1,ENC1
RXRA,RXRA
CDCA4,CDCA4
RRM1,RRM1
HCAR1,HCAR1
ZNF446,ZNF446
MPP2,MPP2
FGL2,FGL2
PKHD1L1,PKHD1L1
SLC47A2,SLC47A2
MMP12,MMP12
RPS6KA1,RPS6KA1
SPATA19,SPATA19
COX7A1,COX7A1
NAT10,NAT10
VEGFA,VEGFA
PDE1C,PDE1C
DENND2D,DENND2D
DRD2,DRD2
MICALL2,MICALL2
MAT2A,MAT2A
KAT5,KAT5
GALK2,GALK2
TLR4,TLR4
CMAS,CMAS
MMP15,MMP15
IMP3,IMP3
ACHE,ACHE
DAPK2,DAPK2
SETDB1,SETDB1
ZNF577,ZNF577
SLC2A4RG,SLC2A4RG
MMP20,MMP20
PLEKHA4,PLEKHA4
GNA12,GNA12
ADH1B,ADH1B
SFPQ,SFPQ
UMODL1,UMODL1
TIMM13,TIMM13
ITLN1,ITLN1
BUB3,BUB3
BRCA2,BRCA2
NMNAT2,NMNAT2
PGR,PGR
GP2,GP2
LYRM1,LYRM1
RASSF1,RASSF1
PTP4A3,PTP4A3
ADORA2A,ADORA2A
RPS6KL1,RPS6KL1
DENND6A,DENND6A
ECI1,ECI1
PVALEF,PVALEF
RAD21,RAD21
MIR181A2HG,MIR181A2HG
RAB23,RAB23
HACD1,HACD1
WNT11,WNT11
ANKK1,ANKK1
KRTCAP3,KRTCAP3
ZNF772,ZNF772
P2RY12,P2RY12
LSP1,LSP1
TNFRSF14,TNFRSF14
ZNF692,ZNF692
NUMA1,NUMA1
RBBP4,RBBP4
MRPS2,MRPS2
PLAUR,PLAUR
RBP4,RBP4
HOXB13,HOXB13
C5AR1,C5AR1
PILRB,PILRB
AKT1S1,AKT1S1
MT-CO1,MT-CO1
ZNF396,ZNF396
NCOA4,NCOA4
CYCS,CYCS
TAF13,TAF13
DTYMK,DTYMK
LBX1-AS1,LBX1-AS1
SNHG3,SNHG3
TRAF1,TRAF1
HTR2B,HTR2B
MORN1,MORN1
ZNF770,ZNF770
UGT2B28,UGT2B28
TBP,TBP
MAPK9,MAPK9
PEX3,PEX3
HIBADH,HIBADH
