,Target.name
LINC02323,LINC02323
RPL21,RPL21
CA8,CA8
PRDX5,PRDX5
DHX9,DHX9
SMR3A,SMR3A
MORF4L1,MORF4L1
AKT2,AKT2
ZBTB46,ZBTB46
CD5,CD5
ITK,ITK
FEZF1-AS1,FEZF1-AS1
FAH,FAH
QKI,QKI
SLC35A3,SLC35A3
EWSR1,EWSR1
ATP2A2,ATP2A2
FAP,FAP
RHEB,RHEB
EXOSC10,EXOSC10
CD38,CD38
FXN,FXN
ARIH2OS,ARIH2OS
AKR1C1,AKR1C1
PIGV,PIGV
CREB3L2,CREB3L2
OTUD6A,OTUD6A
WTAP,WTAP
TRIB2,TRIB2
SLC12A1,SLC12A1
APOO,APOO
NIPSNAP1,NIPSNAP1
SPIC,SPIC
ARNTL,ARNTL
LIMK1,LIMK1
FBXO3,FBXO3
CCDC150,CCDC150
BRD3OS,BRD3OS
BHLHE40,BHLHE40
ARNT2,ARNT2
TRPM3,TRPM3
FOSL1,FOSL1
BARX1,BARX1
MEX3B,MEX3B
NDUFB6,NDUFB6
CACNG3,CACNG3
NOS3,NOS3
ALOX15,ALOX15
PLAU,PLAU
PHF13,PHF13
CHRNB4,CHRNB4
SULT1B1,SULT1B1
GRIK4,GRIK4
CD1A,CD1A
MYLK2,MYLK2
DAB2,DAB2
LINC00115,LINC00115
RBM47,RBM47
SSTR2,SSTR2
CES1,CES1
RPS6KC1,RPS6KC1
DEPDC7,DEPDC7
DTX3,DTX3
TSPAN7,TSPAN7
GPR3,GPR3
TBC1D16,TBC1D16
CCDC134,CCDC134
TTC7A,TTC7A
IL17RB,IL17RB
ATP6V1F,ATP6V1F
DNAAF1,DNAAF1
HEPACAM,HEPACAM
CLEC2A,CLEC2A
MCMBP,MCMBP
PPIC,PPIC
C11orf68,C11orf68
GJA5,GJA5
A4GALT,A4GALT
BLMH,BLMH
NUDT9,NUDT9
ARL5C,ARL5C
SCEL,SCEL
MIR193BHG,MIR193BHG
NEU1,NEU1
NR3C2,NR3C2
TOP1,TOP1
DPP7,DPP7
MCL1,MCL1
STAT2,STAT2
TPBGL,TPBGL
BCR,BCR
CYP21A2,CYP21A2
FKBP11,FKBP11
NSD1,NSD1
CCR7,CCR7
RRS1,RRS1
TRRAP,TRRAP
ZSCAN5A,ZSCAN5A
GIMAP7,GIMAP7
CDC42EP5,CDC42EP5
ARID2,ARID2
VSIG2,VSIG2
LGR6,LGR6
KIF14,KIF14
FCGR3A,FCGR3A
F3,F3
TIAL1,TIAL1
OLIG2,OLIG2
CSNK1G2,CSNK1G2
